time	Stem Pressure (Torr)	time	Beam Box Pressure (Torr)	time	Dump Region Pressure (Torr)
2016-02-22T16:12:09.030000	2.96e-08	2016-02-22T16:12:09.580000	7.82e-08	2016-02-22T16:12:10.053000	0.000634
2016-02-22T16:12:13.030000	2.96e-08	2016-02-22T16:12:13.587000	7.8e-08	2016-02-22T16:12:14.063000	0.000634
2016-02-22T16:12:17.030000	2.96e-08	2016-02-22T16:12:18.087000	7.82e-08	2016-02-22T16:12:18.553000	0.000634
2016-02-22T16:12:21.030000	2.97e-08	2016-02-22T16:12:22.590000	7.82e-08	2016-02-22T16:12:22.563000	0.000634
2016-02-22T16:12:25.033000	2.96e-08	2016-02-22T16:12:26.600000	7.82e-08	2016-02-22T16:12:26.573000	0.000634
2016-02-22T16:12:29.533000	2.96e-08	2016-02-22T16:12:31.080000	7.82e-08	2016-02-22T16:12:31.053000	0.000634
2016-02-22T16:12:33.537000	2.96e-08	2016-02-22T16:12:35.100000	7.8e-08	2016-02-22T16:12:35.077000	0.000634
2016-02-22T16:12:38.033000	2.96e-08	2016-02-22T16:12:39.590000	7.82e-08	2016-02-22T16:12:39.567000	0.000634
2016-02-22T16:12:42.033000	2.96e-08	2016-02-22T16:12:44.077000	7.8e-08	2016-02-22T16:12:44.043000	0.000634
2016-02-22T16:12:46.037000	2.96e-08	2016-02-22T16:12:48.077000	7.82e-08	2016-02-22T16:12:48.053000	0.000634
2016-02-22T16:12:50.527000	2.96e-08	2016-02-22T16:12:52.080000	7.82e-08	2016-02-22T16:12:52.543000	0.000632
2016-02-22T16:12:55.027000	2.96e-08	2016-02-22T16:12:56.580000	7.82e-08	2016-02-22T16:12:56.557000	0.000632
2016-02-22T16:12:59.027000	2.96e-08	2016-02-22T16:13:00.580000	7.8e-08	2016-02-22T16:13:01.043000	0.000632
2016-02-22T16:13:03.027000	2.96e-08	2016-02-22T16:13:05.077000	7.82e-08	2016-02-22T16:13:05.057000	0.000632
2016-02-22T16:13:07.527000	2.96e-08	2016-02-22T16:13:09.080000	7.82e-08	2016-02-22T16:13:09.557000	0.000632
2016-02-22T16:13:11.527000	2.96e-08	2016-02-22T16:13:13.080000	7.8e-08	2016-02-22T16:13:14.060000	0.000632
2016-02-22T16:13:15.540000	2.96e-08	2016-02-22T16:13:17.080000	7.82e-08	2016-02-22T16:13:18.557000	0.000634
2016-02-22T16:13:20.027000	2.97e-08	2016-02-22T16:13:21.587000	7.82e-08	2016-02-22T16:13:22.563000	0.000634
2016-02-22T16:13:24.030000	2.96e-08	2016-02-22T16:13:26.080000	7.82e-08	2016-02-22T16:13:27.057000	0.000634
2016-02-22T16:13:28.033000	2.96e-08	2016-02-22T16:13:30.090000	7.82e-08	2016-02-22T16:13:31.063000	0.000635
2016-02-22T16:13:32.037000	2.96e-08	2016-02-22T16:13:34.567000	7.82e-08	2016-02-22T16:13:35.557000	0.000635
2016-02-22T16:13:36.530000	2.96e-08	2016-02-22T16:13:38.577000	7.8e-08	2016-02-22T16:13:40.057000	0.000635
2016-02-22T16:13:40.530000	2.96e-08	2016-02-22T16:13:43.080000	7.82e-08	2016-02-22T16:13:44.070000	0.000635
2016-02-22T16:13:44.537000	2.96e-08	2016-02-22T16:13:47.080000	7.82e-08	2016-02-22T16:13:48.560000	0.000637
2016-02-22T16:13:49.030000	2.96e-08	2016-02-22T16:13:51.087000	7.82e-08	2016-02-22T16:13:52.560000	0.000637
2016-02-22T16:13:53.033000	2.96e-08	2016-02-22T16:13:55.577000	7.8e-08	2016-02-22T16:13:57.057000	0.000637
2016-02-22T16:13:57.530000	2.96e-08	2016-02-22T16:13:59.590000	7.82e-08	2016-02-22T16:14:01.063000	0.000637
2016-02-22T16:14:01.533000	2.96e-08	2016-02-22T16:14:04.080000	7.8e-08	2016-02-22T16:14:05.557000	0.000637
2016-02-22T16:14:05.533000	2.96e-08	2016-02-22T16:14:08.090000	7.82e-08	2016-02-22T16:14:09.567000	0.000638
2016-02-22T16:14:10.030000	2.96e-08	2016-02-22T16:14:12.580000	7.8e-08	2016-02-22T16:14:13.567000	0.000638
2016-02-22T16:14:14.530000	2.96e-08	2016-02-22T16:14:17.080000	7.82e-08	2016-02-22T16:14:18.047000	0.000638
2016-02-22T16:14:18.533000	2.96e-08	2016-02-22T16:14:21.090000	7.8e-08	2016-02-22T16:14:22.060000	0.000638
2016-02-22T16:14:23.023000	2.96e-08	2016-02-22T16:14:25.577000	7.8e-08	2016-02-22T16:14:26.553000	0.000638
2016-02-22T16:14:27.027000	2.96e-08	2016-02-22T16:14:30.070000	7.82e-08	2016-02-22T16:14:31.047000	0.000638
2016-02-22T16:14:31.523000	2.96e-08	2016-02-22T16:14:34.080000	7.82e-08	2016-02-22T16:14:35.057000	0.00064
2016-02-22T16:14:35.523000	2.97e-08	2016-02-22T16:14:38.080000	7.8e-08	2016-02-22T16:14:39.547000	0.00064
2016-02-22T16:14:39.527000	2.96e-08	2016-02-22T16:14:42.590000	7.8e-08	2016-02-22T16:14:43.557000	0.00064
2016-02-22T16:14:44.033000	2.96e-08	2016-02-22T16:14:47.090000	7.8e-08	2016-02-22T16:14:47.567000	0.00064
2016-02-22T16:14:48.530000	2.96e-08	2016-02-22T16:14:51.580000	7.8e-08	2016-02-22T16:14:52.060000	0.00064
2016-02-22T16:14:53.037000	2.96e-08	2016-02-22T16:14:56.070000	7.8e-08	2016-02-22T16:14:56.570000	0.00064
2016-02-22T16:14:57.533000	2.96e-08	2016-02-22T16:15:00.090000	7.8e-08	2016-02-22T16:15:01.060000	0.000641
2016-02-22T16:15:01.533000	2.96e-08	2016-02-22T16:15:04.577000	7.8e-08	2016-02-22T16:15:05.553000	0.000641
2016-02-22T16:15:06.030000	2.96e-08	2016-02-22T16:15:09.090000	7.8e-08	2016-02-22T16:15:10.050000	0.000641
2016-02-22T16:15:10.523000	2.96e-08	2016-02-22T16:15:13.580000	7.79e-08	2016-02-22T16:15:14.060000	0.000641
2016-02-22T16:15:14.533000	2.96e-08	2016-02-22T16:15:18.070000	7.8e-08	2016-02-22T16:15:18.563000	0.000641
2016-02-22T16:15:19.030000	2.96e-08	2016-02-22T16:15:22.080000	7.8e-08	2016-02-22T16:15:23.060000	0.000641
2016-02-22T16:15:23.033000	2.96e-08	2016-02-22T16:15:26.570000	7.8e-08	2016-02-22T16:15:27.550000	0.000641
