trace	state	block	B	Delta_prep	P	R	theta	|B|
0	0	0	-1	0.9	1.0	-1.0	1	1B
1	1	0	-1	1.5	1.0	-1.0	1	1B
2	2	0	-1	-1.5	1.0	-1.0	1	1B
3	3	0	-1	0.3	1.0	-1.0	1	1B
4	4	0	-1	-0.9	1.0	-1.0	1	1B
5	5	0	-1	-0.3	1.0	-1.0	1	1B
6	6	0	-1	-1.5	1.0	-1.0	-1	1B
7	7	0	-1	0.9	1.0	-1.0	-1	1B
8	8	0	-1	-0.3	1.0	-1.0	-1	1B
9	9	0	-1	1.5	1.0	-1.0	-1	1B
10	10	0	-1	-0.9	1.0	-1.0	-1	1B
11	11	0	-1	0.3	1.0	-1.0	-1	1B
12	12	0	-1	-0.9	1.0	-1.0	1	1B
13	13	0	-1	-1.5	1.0	-1.0	1	1B
14	14	0	-1	0.3	1.0	-1.0	1	1B
15	15	0	-1	-0.3	1.0	-1.0	1	1B
16	16	0	-1	0.9	1.0	-1.0	1	1B
17	17	0	-1	1.5	1.0	-1.0	1	1B
18	18	0	-1	1.5	1.0	-1.0	-1	1B
19	19	0	-1	0.3	1.0	-1.0	-1	1B
20	20	0	-1	0.9	1.0	-1.0	-1	1B
21	21	0	-1	-0.9	1.0	-1.0	-1	1B
22	22	0	-1	-1.5	1.0	-1.0	-1	1B
23	23	0	-1	-0.3	1.0	-1.0	-1	1B
24	24	0	1	1.5	1.0	-1.0	-1	1B
25	25	0	1	-1.5	1.0	-1.0	-1	1B
26	26	0	1	0.3	1.0	-1.0	-1	1B
27	27	0	1	0.9	1.0	-1.0	-1	1B
28	28	0	1	-0.3	1.0	-1.0	-1	1B
29	29	0	1	-0.9	1.0	-1.0	-1	1B
30	30	0	1	1.5	1.0	-1.0	1	1B
31	31	0	1	-1.5	1.0	-1.0	1	1B
32	32	0	1	-0.3	1.0	-1.0	1	1B
33	33	0	1	0.9	1.0	-1.0	1	1B
34	34	0	1	0.3	1.0	-1.0	1	1B
35	35	0	1	-0.9	1.0	-1.0	1	1B
36	36	0	1	1.5	1.0	-1.0	-1	1B
37	37	0	1	0.9	1.0	-1.0	-1	1B
38	38	0	1	-0.3	1.0	-1.0	-1	1B
39	39	0	1	-0.9	1.0	-1.0	-1	1B
