
																														
Interferometer Scan																														
Thursday, February 12, 2015	12:39:26 PM																													
X position (cm)																														
0.000000																														
Y position (cm)																														
0.000000																														
Interferometer Positions (um)																														
1605.200625	1598.961750	1617.583125	1572.101250	1630.013250	1580.340375	1603.105125	1594.818375	1570.005750	1574.149125	1590.722625	1601.057250	1613.439750	1627.917750	1586.579250	1576.197000	1623.822000	1584.483750	1607.248500	1619.678625	1578.292500	1588.627125	1609.296375	1592.770500	1615.535250	1611.391875	1625.869875	1582.435875	1596.913875	1621.726500	1600.009500
Fringe Signal																														
35.622928	18.193619	16.988879	4.550211	6.062902	5.778497	37.967898	13.044979	4.440252	4.750018	10.368031	23.754041	30.060159	6.671948	7.298932	5.060482	10.977512	7.207660	28.488659	16.277351	5.111387	7.091143	38.550249	16.214824	22.103480	23.054107	9.209556	5.457405	19.529897	9.765259	33.889508
Laser Intensity Signal																														
149080.502436	115828.340818	105137.597317	115368.858747	134126.458634	119421.298278	103438.538506	148896.098550	150511.558328	116904.953119	117871.430861	135954.733466	101863.155302	149285.714002	151060.192952	103363.941499	117260.031099	118151.594639	148797.191619	137059.245752	134599.218299	104878.271365	149034.754376	150958.545306	118658.697789	103400.492237	149700.389110	103042.078474	136034.194555	134866.854216	118199.143629
Gaussian Fit																														
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																														
32.456974	1.655634	1606.702424	0.656464	11.097027	0.686650																									

																														
Interferometer Scan																														
Thursday, February 12, 2015	12:40:06 PM																													
X position (cm)																														
1.051034																														
Y position (cm)																														
0.000000																														
Interferometer Positions (um)																														
1611.868125	1578.768750	1580.816625	1628.441625	1609.820250	1597.390125	1620.154875	1584.960000	1632.585000	1582.912125	1613.963625	1595.342250	1605.676875	1591.198875	1576.720875	1593.246750	1587.055500	1634.632875	1630.489500	1607.724750	1599.438000	1626.346125	1603.581375	1622.202750	1636.680750	1624.298250	1616.011500	1618.059375	1601.533500	1589.103375	1606.724625
Fringe Signal																														
19.559885	5.274590	4.924843	6.249893	31.595774	21.119302	11.939253	7.697323	4.798579	7.179917	19.500876	24.527850	29.282239	16.875456	5.310982	18.854134	10.094159	4.846553	4.706509	38.125091	30.427696	6.801304	28.845247	10.536344	5.328556	7.565279	13.335635	12.446544	35.280962	14.754489	36.740770
Laser Intensity Signal																														
118712.227594	119844.270244	118372.884808	137756.571075	150333.655613	116336.640655	149807.980872	104828.775956	146726.065275	103328.221757	149777.177641	102022.453658	132446.322688	102143.503892	103406.344602	147964.737618	148403.544392	117593.665700	115499.009311	132262.395904	133430.795305	133737.617818	135661.394330	145084.789555	143543.161324	125763.366420	150771.508183	156599.525048	122983.200850	108747.376558	122365.227827
Gaussian Fit																														
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																														
