	x (cm)	y (cm)	s (um)	ds (um)
0	17.78	-6.35	45033.252782	0.745876269835
1	15.688235	-6.35	45024.5973068	0.31509286259
2	13.596471	-6.35	45017.7037428	0.569040895817
3	11.504706	-6.35	45011.7555428	0.689761658401
4	9.412941	-6.35	45006.6118173	0.357441415219
5	7.321176	-6.35	45002.1732836	0.444716176265
6	5.229412	-6.35	44999.1419983	0.486730319379
7	3.137647	-6.35	44996.1702849	0.526146604964
8	1.045882	-6.35	44994.5883627	0.283433951204
9	-1.045882	-6.35	44993.3864436	0.300232564106
10	-3.137647	-6.35	44993.0630107	0.328306970497
11	-5.229412	-6.35	44993.8443731	0.306904504141
12	-7.321176	-6.35	44995.8816838	0.236243326788
13	-9.412941	-6.35	44998.8098023	0.236813525708
14	-11.504706	-6.35	45002.868255	0.256716908637
15	-13.596471	-6.35	45006.868515	0.274120170398
16	-15.688235	-6.35	45012.3329236	0.222683082548
17	-17.78	-6.35	45018.2735141	0.195732496614
18	-17.78	-3.81	45020.1341857	0.195296528249
19	-15.688235	-3.81	45014.3709388	0.240232918958
20	-13.596471	-3.81	45009.3585965	0.235576792723
21	-11.504706	-3.81	45004.5607525	0.259735080637
22	-9.412941	-3.81	45000.78201	0.254474587209
23	-7.321176	-3.81	44997.6765483	0.262425123975
24	-5.229412	-3.81	44995.1303405	0.282500062582
25	-3.137647	-3.81	44993.9730228	0.323222163197
26	-1.045882	-3.81	44993.4926048	0.320984532113
27	1.045882	-3.81	44994.2087193	0.394076787353
28	3.137647	-3.81	44994.8585151	0.696867092122
29	5.229412	-3.81	44997.1361165	0.415862877283
30	7.321176	-3.81	44999.1462321	0.426005403683
31	9.412941	-3.81	45002.7070765	0.327382861102
32	11.504706	-3.81	45007.6163639	0.446805592797
33	13.596471	-3.81	45012.528188	0.379051205066
34	15.688235	-3.81	45017.6912421	0.465601651336
35	17.78	-3.81	45024.665569	0.487971951262
36	17.78	-1.27	45015.4859022	0.287303114611
37	15.688235	-1.27	45010.706445	0.339483005557
38	13.596471	-1.27	45006.8468413	0.406593071804
39	11.504706	-1.27	45003.9491864	0.64003889574
40	9.412941	-1.27	45000.1283306	0.359122217644
41	7.321176	-1.27	44997.1710415	0.450722696154
42	5.229412	-1.27	44996.0063846	0.328587133863
43	3.137647	-1.27	44993.9896699	0.338163371001
44	1.045882	-1.27	44993.3714476	0.319177448158
45	-1.045882	-1.27	44993.8913351	0.233718679778
46	-3.137647	-1.27	44995.0038205	0.322759021459
47	-5.229412	-1.27	44996.6386144	0.32494925697
48	-7.321176	-1.27	44999.8423992	0.222598793378
49	-9.412941	-1.27	45003.0233129	0.272190402411
50	-11.504706	-1.27	45007.5097061	0.238706053892
51	-13.596471	-1.27	45012.3736078	0.281283942022
52	-15.688235	-1.27	45018.2266198	0.164926912691
53	-17.78	-1.27	45024.0665252	0.232048457071
54	-17.78	1.27	45028.1459986	0.142550895326
55	-15.688235	1.27	45021.7549309	0.220004885871
56	-13.596471	1.27	45015.709133	0.260146137836
57	-11.504706	1.27	45009.9208574	0.185331598979
58	-9.412941	1.27	45005.168558	0.276562919827
59	-7.321176	1.27	45000.8798762	0.288712763445
60	-5.229412	1.27	44997.4389814	0.254132931157
61	-3.137647	1.27	44995.2627284	0.218792461214
62	-1.045882	1.27	44993.5609413	0.276518717928
63	1.045882	1.27	44992.8043588	0.359323325759
64	3.137647	1.27	44993.4724709	0.277729161094
65	5.229412	1.27	44993.5716526	0.383684825147
66	7.321176	1.27	44995.8236336	0.490114540451
67	9.412941	1.27	44997.7311911	0.562607203153
68	11.504706	1.27	44999.8736007	0.434395431905
69	13.596471	1.27	45003.3721389	0.284459901284
70	15.688235	1.27	45006.3836472	0.317689149265
71	17.78	1.27	45009.1264289	0.512266083484
72	17.78	3.81	45005.408311	0.26112767545
73	15.688235	3.81	45003.1614854	0.285783541384
74	13.596471	3.81	45000.2056713	0.201862810011
75	11.504706	3.81	44997.9442234	0.266770480121
76	9.412941	3.81	44995.7463065	0.197677317329
77	7.321176	3.81	44994.1152005	0.312521911134
78	5.229412	3.81	44993.0810999	0.30730670574
79	3.137647	3.81	44992.8213061	0.291655861848
80	1.045882	3.81	44992.9747578	0.200156564653
81	-1.045882	3.81	44994.1691938	0.217394979747
82	-3.137647	3.81	44996.1290411	0.196264543397
83	-5.229412	3.81	44998.9209065	0.289105414744
84	-7.321176	3.81	45003.1930229	0.268066335251
85	-9.412941	3.81	45007.6467699	0.240046972193
86	-11.504706	3.81	45013.5901508	0.254869270286
87	-13.596471	3.81	45019.6553795	0.258810269215
88	-15.688235	3.81	45026.9105922	0.191350634485
89	-17.78	3.81	45034.1266924	0.208964397535
90	-17.78	6.35	45040.1957369	0.201634963218
91	-15.688235	6.35	45030.9114557	0.22231577302
92	-13.596471	6.35	45023.4132921	0.236564023107
93	-11.504706	6.35	45016.735456	0.284666611256
94	-9.412941	6.35	45010.0027438	0.241723359095
95	-7.321176	6.35	45004.782912	0.212807227449
96	-5.229412	6.35	44999.8726392	0.235296353011
97	-3.137647	6.35	44996.0658955	0.209515934619
98	-1.045882	6.35	44993.3290416	0.266189481006
99	1.045882	6.35	44992.4408375	0.211080319267
100	3.137647	6.35	44991.398912	0.214261234054
101	5.229412	6.35	44991.9915138	0.194518742519
102	7.321176	6.35	44992.8866782	0.240009264338
103	9.412941	6.35	44994.4096211	0.249122094072
104	11.504706	6.35	44996.0604959	0.184139211446
105	13.596471	6.35	44998.4018795	0.258087287213
106	15.688235	6.35	45000.5520202	0.24818176951
107	17.78	6.35	45003.5962804	0.246863768534
