
																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:24:25 AM																																							
X position (cm)																																								
0.000000																																								
Y position (cm)																																								
0.000000																																								
Interferometer Positions (um)																																								
5486.400000	5476.160625	5488.447875	5433.060000	5437.155750	5443.347000	5447.442750	5484.352125	5445.394875	5463.825750	5494.591500	5480.256375	5455.634250	5478.208500	5502.830625	5504.878500	5496.639375	5439.203625	5474.112750	5441.251500	5459.730000	5457.682125	5482.304250	5453.586375	5490.495750	5506.926375	5498.687250	5492.543625	5435.107875	5465.873625	5500.782750	5472.064875	5469.969375	5451.538500	5511.022125	5508.974250	5467.921500	5449.490625	5461.777875	5431.012125	5471.017125
Fringe Signal																																								
114.905143	172.639089	70.176728	1.923449	1.754247	1.923595	2.005358	134.201120	1.954603	27.091198	24.140302	162.698901	6.766480	224.722186	3.585928	2.681425	9.208709	1.835325	183.505624	1.852501	14.037485	12.646424	141.293552	4.519224	63.142822	2.146760	4.229857	26.904081	1.852714	48.761258	4.502791	188.438152	123.876306	2.601162	1.975209	1.856684	100.795013	2.361215	22.285377	1.768924	79.504706
Laser Intensity Signal																																								
37201.882644	59705.765396	37289.784771	49859.775693	36537.536348	49795.857121	27389.623009	59232.966410	27475.143557	49714.305434	27428.538286	48519.998341	47813.640847	47003.145339	47412.314112	47728.385065	48008.719237	48251.604828	47753.536471	38795.769283	38990.513439	38657.736049	48520.390246	38550.592553	48412.993782	48352.151470	50217.444966	36959.989268	49650.055250	36697.247580	59117.528678	36645.070438	48672.668385	35678.877123	49636.630856	37020.700508	48297.351578	36695.571169	47938.008515	47991.826678	47872.034734
Gaussian Fit																																								
Amplitude   dAmplitude   Center   dCenter   Width   dWidth																																								
190.981543	6.833327	5477.720807	0.303817	7.626192	0.316977																																			

																																								
Interferometer Scan																																								
Wednesday, March 23, 2016	11:25:27 AM																																							
X position (cm)																																								
11.853333																																								
Y position (cm)																																								
0.000000																																								
Interferometer Positions (um)																																								
5457.777375	5449.585875	5496.782250	5498.830125	5492.638875	5468.064375	5451.633750	5447.538000	5509.069500	5472.160125	5463.921000	5482.399500	5470.112250	5465.968875	5465.968875	5502.925875	5511.117375	5461.873125	5443.442250	5455.729500	5437.251000	5517.261000	5494.686750	5500.878000	5459.825250	5490.591000	5453.681625	5484.447375	5445.490125	5474.208000	5507.021625	5478.303750	5439.346500	5486.495250	5480.351625	5488.543125	5441.394375	5504.973750	5515.213125	5476.255875	5477.256000
Fringe Signal																																								
1.434281	1.478301	80.913292	126.243125	51.697746	1.562019	1.497165	1.526524	272.109276	1.589298	1.468320	3.136471	1.454799	1.516753	1.460606	231.158613	232.852086	1.525683	1.388739	1.585892	1.432652	93.566381	78.676739	140.803638	1.516332	19.797407	1.427277	4.867949	1.502240	1.500537	273.236809	2.070140	1.415373	6.850464	2.444343	11.715957	1.462555	242.569949	132.752411	1.964695	1.868185
Laser Intensity Signal																																								
